date, pm25, pm10, o3, no2, so2, co,AQI,index
5/11/2020,34,20,35,4,1,1,35,Good
5/10/2020,14,14,24,1,0,1,24,Good
5/9/2020,22,7,25,2,0,1,25,Good
5/8/2020,16,11,19,8,0,2,19,Good
5/7/2020,13,7,15,8,0,2,15,Good
5/6/2020,16,7,16,6,0,2,16,Good
5/5/2020,10,8,18,9,0,1,18,Good
5/4/2020,13,5,22,4,0,1,22,Good
5/3/2020,17,5,22,2,0,1,22,Good
5/2/2020,40,6,21,3,0,1,40,Good
5/1/2020,35,24,56,11,0,2,56,Moderate
4/30/2020,16,15,21,15,0,2,21,Good
4/29/2020,12,8,22,4,0,1,22,Good
4/28/2020,15,7,20,3,0,1,20,Good
4/27/2020,13,7,24,6,0,2,24,Good
4/26/2020,10,7,15,3,0,1,15,Good
4/25/2020,17,5,15,4,0,2,17,Good
4/24/2020,17,7,25,5,0,1,25,Good
4/23/2020,27,8,15,6,0,2,27,Good
4/22/2020,18,12,18,8,0,1,18,Good
4/21/2020,14,9,21,7,0,1,21,Good
4/20/2020,16,7,21,4,0,2,21,Good
4/19/2020,15,7,24,2,0,1,24,Good
4/18/2020,19,5,21,4,0,2,21,Good
4/17/2020,8,10,11,6,1,2,11,Good
4/16/2020,9,5,17,4,1,2,17,Good
4/15/2020,10,5,16,6,1,2,16,Good
4/14/2020,13,5,20,4,1,2,20,Good
4/13/2020,12,7,17,7,1,2,17,Good
4/12/2020,9,5,31,4,1,2,31,Good
4/11/2020,10,4,21,3,1,1,21,Good
4/10/2020,7,4,18,6,1,2,18,Good
4/9/2020,24,3,19,5,1,2,24,Good
4/8/2020,15,8,21,6,1,2,21,Good
4/7/2020,13,7,16,8,1,2,16,Good
4/6/2020,14,7,22,5,1,2,22,Good
4/5/2020,9,7,23,2,1,2,23,Good
4/4/2020,9,3,13,3,1,2,13,Good
4/3/2020,11,5,18,4,1,2,18,Good
4/2/2020,21,4,17,6,1,3,21,Good
4/1/2020,18,6,20,4,1,5,20,Good
3/31/2020,14,6,20,4,1,5,20,Good
3/29/2020,42,5,18,7,1,5,42,Good
3/28/2020,53,11,17,5,1,6,53,Moderate
3/27/2020,36,14,13,14,1,7,36,Good
3/26/2020,39,11,17,13,1,7,39,Good
3/25/2020,50,11,20,9,1,6,50,Good
3/24/2020,21,15,14,12,1,7,21,Good
3/23/2020,28,8,30,9,1,7,30,Good
3/22/2020,24,10,29,4,1,6,29,Good
3/21/2020,11,10,24,8,1,6,24,Good
3/20/2020,52,5,25,6,1,4,52,Moderate
3/19/2020,49,16,24,7,1,6,49,Good
3/18/2020,40,17,14,23,1,7,40,Good
3/17/2020,17,13,17,21,2,7,21,Good
3/16/2020,13,6,25,7,1,4,25,Good
3/15/2020,16,6,23,9,1,4,23,Good
3/14/2020,27,7,18,10,1,4,27,Good
3/13/2020,39,11,19,15,1,5,39,Good
3/12/2020,41,14,14,19,1,5,41,Good
3/11/2020,32,16,10,22,2,5,32,Good
3/10/2020,43,11,23,12,1,4,43,Good
3/9/2020,49,12,11,16,2,4,49,Good
3/8/2020,55,13,16,10,1,4,55,Moderate
3/7/2020,52,16,7,16,1,5,52,Moderate
3/6/2020,37,19,5,17,2,5,37,Good
3/5/2020,43,15,11,18,1,5,43,Good
3/4/2020,47,12,6,19,1,5,47,Good
3/3/2020,32,13,12,14,1,5,32,Good
3/2/2020,24,10,14,10,1,4,24,Good
3/1/2020,20,9,15,13,1,4,20,Good
2/29/2020,30,6,19,14,1,4,30,Good
2/28/2020,51,11,17,15,1,3,51,Moderate
2/27/2020,23,19,17,18,1,5,23,Good
2/26/2020,57,12,23,14,1,3,57,Moderate
2/25/2020,95,18,20,9,1,5,95,Moderate
2/24/2020,87,35,2,13,1,5,87,Moderate
2/23/2020,59,35,5,17,2,7,59,Moderate
2/22/2020,58,26,10,25,6,6,58,Moderate
2/21/2020,43,19,8,21,5,6,43,Good
2/20/2020,30,14,17,17,7,5,30,Good
2/19/2020,43,11,25,11,1,3,43,Good
2/18/2020,32,13,21,14,1,4,32,Good
2/17/2020,29,13,22,10,1,4,29,Good
2/16/2020,46,11,28,6,1,3,46,Good
2/15/2020,34,18,17,20,1,4,34,Good
2/14/2020,20,12,26,12,1,4,26,Good
2/13/2020,17,9,28,6,1,3,28,Good
2/12/2020,27,7,24,7,1,3,27,Good
2/11/2020,29,11,25,12,1,3,29,Good
2/10/2020,39,10,28,5,1,3,39,Good
2/9/2020,26,14,24,11,1,3,26,Good
2/8/2020,27,12,23,13,1,4,27,Good
2/7/2020,47,11,25,11,1,4,47,Good
2/6/2020,74,17,11,16,3,4,74,Moderate
2/5/2020,108,28,7,18,1,4,108,Unhealthy for Sensitive Groups
2/4/2020,111,41,1,16,1,6,111,Unhealthy for Sensitive Groups
2/3/2020,133,41, ,13,1,6,133,Unhealthy for Sensitive Groups
2/2/2020,153,51, ,18,1,5,153,Unhealthy
2/1/2020,72,61, ,19,1,6,72,Moderate
1/31/2020,38,26, ,14,1,4,38,Good
1/30/2020,20,16,16,18,1,4,20,Good
1/29/2020,16,9,25,13,1,3,25,Good
1/28/2020,35,7,27,7,0,3,35,Good
1/27/2020,40,14,28,5,1,3,40,Good
1/26/2020,22,12,23,10,1,4,22,Good
1/25/2020,28,8,25,15,1,4,28,Good
1/24/2020,24,11,21,14,1,3,24,Good
1/23/2020,24,10,20,10,1,3,24,Good
1/22/2020,19,11,19,13,1,3,19,Good
1/21/2020,17,9,20,12,0,2,20,Good
1/20/2020,28,7,24,8,0,2,28,Good
1/19/2020,29,12,18,13,1,3,29,Good
1/18/2020,27,13,16,18,1,4,27,Good
1/17/2020,56,11,19,9,1,3,56,Moderate
1/16/2020,52,24,14,16,1,4,52,Moderate
1/15/2020,62,21,15,15,1,3,62,Moderate
1/14/2020,35,25,10,20,1,3,35,Good
1/13/2020,21,12,24,11,1,3,24,Good
1/12/2020,20,8,22,7,1,2,22,Good
1/11/2020,21,9,21,9,1,2,21,Good
1/10/2020,31,8,22,8,1,2,31,Good
1/9/2020,20,10,24,6,1,2,24,Good
1/8/2020,36,7,20,8,1,2,36,Good
1/7/2020,16,11,18,14,1,2,18,Good
1/6/2020,13,5,19,6,1,2,19,Good
1/5/2020,20,5,24,8,1,2,24,Good
1/4/2020,19,8,22,10,1,2,19,Good
1/3/2020,19,7,18,10,1,2,19,Good
1/2/2020,21,9,24,8,1,2,24,Good
1/1/2020,14,8,19,10,1,2,19,Good
